pokemon_id,pokemon_name,base_attack,base_defense,base_stamina,type,rarity,charged_moves,fast_moves,candy_required,distance,max_cp,attack_probability,base_capture_rate,base_flee_rate,dodge_probability,max_pokemon_action_frequency,min_pokemon_action_frequency,found_egg,found_evolution,found_wild,found_research,found_raid,found_photobomb
19,Rattata,103,70,102,"['Dark', 'Normal']",Standard,"['Crunch', 'Hyper Fang', 'Shadow Ball']","['Tackle', 'Quick Attack']",0.0,1,840,0.2,-1.0,-1.0,0.3,1.6,0.2,False,False,True,True,True,True
20,Raticate,135,154,181,"['Dark', 'Normal']",Standard,"['Crunch', 'Hyper Fang', 'Hyper Beam']","['Bite', 'Quick Attack']",25.0,1,1950,0.2,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
21,Spearow,112,60,120,"['Normal', 'Flying']",Standard,"['Aerial Ace', 'Drill Peck', 'Sky Attack']","['Peck', 'Quick Attack']",0.0,1,913,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
22,Fearow,182,133,163,"['Normal', 'Flying']",Standard,"['Aerial Ace', 'Drill Run', 'Sky Attack', 'Fly']","['Peck', 'Steel Wing']",50.0,1,2284,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
23,Ekans,110,97,111,['Poison'],Standard,"['Wrap', 'Poison Fang', 'Sludge Bomb']","['Poison Sting', 'Acid']",0.0,3,1061,0.2,-1.0,-1.0,0.1,1.6,0.2,False,False,True,True,True,True
24,Arbok,167,153,155,['Poison'],Standard,"['Dark Pulse', 'Sludge Wave', 'Gunk Shot', 'Acid Spray']","['Bite', 'Acid', 'Dragon Tail']",50.0,3,2197,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
25,Pikachu,112,96,111,['Electric'],Standard,"['Discharge', 'Thunderbolt', 'Wild Charge']","['Thunder Shock', 'Quick Attack']",25.0,1,1073,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
26,Raichu,201,154,155,"['Electric', 'Psychic']",Standard,"['Psychic', 'Thunder Punch', 'Wild Charge', 'Grass Knot', 'Trailblaze']","['Volt Switch', 'Spark', 'Thunder Shock']",50.0,1,2616,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
27,Sandshrew,125,129,137,"['Ice', 'Steel']",Standard,"['Blizzard', 'Gyro Ball', 'Night Slash']","['Metal Claw', 'Powder Snow']",0.0,3,1479,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
28,Sandslash,177,195,181,"['Ice', 'Steel']",Standard,"['Blizzard', 'Gyro Ball', 'Bulldoze', 'Ice Punch', 'Drill Run', 'Aerial Ace']","['Metal Claw', 'Powder Snow']",50.0,3,2783,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
29,Nidoran♀,86,89,146,['Poison'],Standard,"['Poison Fang', 'Body Slam', 'Sludge Bomb']","['Bite', 'Poison Sting']",0.0,3,933,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
30,Nidorina,117,120,172,['Poison'],Standard,"['Poison Fang', 'Dig', 'Sludge Bomb', 'Thunderbolt']","['Bite', 'Poison Sting']",25.0,3,1498,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,False,True
31,Nidoqueen,180,173,207,"['Poison', 'Ground']",Standard,"['Earthquake', 'Sludge Wave', 'Stone Edge', 'Earth Power', 'Poison Fang']","['Poison Jab', 'Bite']",100.0,3,2846,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
32,Nidoran♂,105,76,130,['Poison'],Standard,"['Horn Attack', 'Body Slam', 'Sludge Bomb']","['Peck', 'Poison Sting']",0.0,3,984,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
33,Nidorino,137,111,156,['Poison'],Standard,"['Horn Attack', 'Dig', 'Sludge Bomb', 'Ice Beam']","['Poison Jab', 'Poison Sting']",25.0,3,1594,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,False,True
34,Nidoking,204,156,191,"['Poison', 'Ground']",Standard,"['Earthquake', 'Sludge Wave', 'Megahorn', 'Earth Power', 'Sand Tomb']","['Poison Jab', 'Iron Tail', 'Double Kick']",100.0,3,2936,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
35,Clefairy,107,108,172,['Fairy'],Standard,"['Disarming Voice', 'Body Slam', 'Moonblast', 'Swift']","['Pound', 'Zen Headbutt']",25.0,1,1322,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
36,Clefable,178,162,216,['Fairy'],Standard,"['Dazzling Gleam', 'Psychic', 'Moonblast', 'Meteor Mash', 'Swift']","['Charge Beam', 'Zen Headbutt', 'Charm', 'Fairy Wind']",50.0,1,2788,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
37,Vulpix,96,109,116,['Ice'],Standard,"['Dark Pulse', 'Ice Beam', 'Blizzard', 'Weather Ball Ice']","['Zen Headbutt', 'Powder Snow']",0.0,3,1010,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
38,Ninetales,170,193,177,"['Ice', 'Fairy']",Standard,"['Dazzling Gleam', 'Ice Beam', 'Blizzard', 'Psyshock', 'Weather Ball Ice']","['Feint Attack', 'Powder Snow', 'Charm']",50.0,3,2641,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
39,Jigglypuff,80,41,251,"['Normal', 'Fairy']",Standard,"['Disarming Voice', 'Gyro Ball', 'Dazzling Gleam', 'Swift']","['Pound', 'Feint Attack']",25.0,1,828,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
40,Wigglytuff,156,90,295,"['Normal', 'Fairy']",Standard,"['Dazzling Gleam', 'Hyper Beam', 'Play Rough', 'Ice Beam', 'Disarming Voice', 'Icy Wind', 'Swift']","['Pound', 'Feint Attack', 'Charm']",50.0,1,2204,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
41,Zubat,83,73,120,"['Poison', 'Flying']",Standard,"['Poison Fang', 'Air Cutter', 'Swift']","['Quick Attack', 'Bite']",0.0,1,763,0.1,-1.0,-1.0,0.2,1.6,0.2,False,False,True,True,True,True
42,Golbat,161,150,181,"['Poison', 'Flying']",Standard,"['Shadow Ball', 'Air Cutter', 'Poison Fang']","['Wing Attack', 'Bite']",25.0,1,2261,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
43,Oddish,131,112,128,"['Grass', 'Poison']",Standard,"['Seed Bomb', 'Sludge Bomb', 'Moonblast']","['Razor Leaf', 'Acid']",0.0,3,1405,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
44,Gloom,153,136,155,"['Grass', 'Poison']",Standard,"['Petal Blizzard', 'Sludge Bomb', 'Moonblast']","['Razor Leaf', 'Acid']",25.0,3,1923,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
45,Vileplume,202,167,181,"['Grass', 'Poison']",Standard,"['Petal Blizzard', 'Solar Beam', 'Moonblast', 'Sludge Bomb']","['Razor Leaf', 'Acid']",100.0,3,2928,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
46,Paras,121,99,111,"['Bug', 'Grass']",Standard,"['Cross Poison', 'X Scissor', 'Seed Bomb']","['Scratch', 'Bug Bite']",0.0,3,1164,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
47,Parasect,165,146,155,"['Bug', 'Grass']",Standard,"['Cross Poison', 'X Scissor', 'Solar Beam']","['Struggle Bug', 'Fury Cutter']",50.0,3,2127,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
48,Venonat,100,100,155,"['Bug', 'Poison']",Standard,"['Poison Fang', 'Psybeam', 'Signal Beam']","['Bug Bite', 'Confusion']",0.0,3,1148,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
49,Venomoth,179,143,172,"['Bug', 'Poison']",Standard,"['Silver Wind', 'Psychic', 'Bug Buzz', 'Poison Fang']","['Infestation', 'Confusion']",50.0,3,2382,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
50,Diglett,108,81,67,"['Ground', 'Steel']",Standard,"['Dig', 'Mud Bomb', 'Rock Tomb']","['Mud Slap', 'Metal Claw', 'Sand Attack']",0.0,3,779,0.1,-1.0,-1.0,0.0,1.6,0.2,False,False,True,True,True,True
51,Dugtrio,201,142,111,"['Ground', 'Steel']",Standard,"['Earthquake', 'Mud Bomb', 'Iron Head']","['Metal Claw', 'Mud Slap', 'Sand Attack']",50.0,3,2170,0.1,-1.0,-1.0,0.0,1.6,0.2,False,True,True,True,True,True
52,Meowth,99,78,120,['Dark'],Standard,"['Night Slash', 'Dark Pulse', 'Foul Play', 'Trailblaze']","['Scratch', 'Bite']",0.0,3,912,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
53,Persian,158,136,163,['Dark'],Standard,"['Foul Play', 'Dark Pulse', 'Play Rough', 'Payback', 'Trailblaze']","['Scratch', 'Feint Attack']",50.0,3,2026,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
54,Psyduck,122,95,137,['Water'],Standard,"['Psybeam', 'Aqua Tail', 'Cross Chop']","['Water Gun', 'Zen Headbutt']",0.0,3,1265,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
55,Golduck,191,162,190,['Water'],Standard,"['Psychic', 'Hydro Pump', 'Ice Beam', 'Bubble Beam', 'Synchronoise', 'Cross Chop', 'Liquidation']","['Water Gun', 'Confusion']",50.0,3,2803,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
56,Mankey,148,82,120,['Fighting'],Standard,"['Cross Chop', 'Low Sweep', 'Brick Break']","['Karate Chop', 'Scratch']",0.0,3,1332,0.2,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
57,Primeape,207,138,163,['Fighting'],Standard,"['Close Combat', 'Low Sweep', 'Night Slash', 'Ice Punch']","['Low Kick', 'Counter']",50.0,3,2617,0.3,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
58,Growlithe,142,92,155,"['Fire', 'Rock']",Standard,"['Rock Slide', 'Crunch', 'Flamethrower']","['Ember', 'Bite']",0.0,3,1512,0.1,-1.0,-1.0,0.15,1.6,0.2,True,False,True,True,True,True
59,Arcanine,232,165,216,"['Fire', 'Rock']",Standard,"['Rock Slide', 'Wild Charge', 'Crunch', 'Flamethrower']","['Fire Fang', 'Snarl', 'Rock Smash']",50.0,3,3598,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
60,Poliwag,101,82,120,['Water'],Standard,"['Bubble Beam', 'Mud Bomb', 'Body Slam']","['Bubble', 'Mud Shot']",0.0,3,948,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
61,Poliwhirl,130,123,163,['Water'],Standard,"['Water Pulse', 'Mud Bomb', 'Bubble Beam']","['Bubble', 'Mud Shot']",25.0,3,1623,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,False,True
62,Poliwrath,182,184,207,"['Water', 'Fighting']",Standard,"['Hydro Pump', 'Dynamic Punch', 'Ice Punch', 'Power Up Punch', 'Scald', 'Icy Wind']","['Bubble', 'Rock Smash', 'Mud Shot']",100.0,3,2958,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
63,Abra,195,82,93,['Psychic'],Standard,"['Psyshock', 'Signal Beam', 'Shadow Ball']","['Zen Headbutt', 'Charge Beam']",0.0,3,1535,0.05,-1.0,-1.0,0.2,1.6,0.2,False,False,True,True,True,True
64,Kadabra,232,117,120,['Psychic'],Standard,"['Psybeam', 'Dazzling Gleam', 'Shadow Ball']","['Psycho Cut', 'Confusion']",25.0,3,2355,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
65,Alakazam,271,167,146,['Psychic'],Standard,"['Futuresight', 'Focus Blast', 'Shadow Ball', 'Fire Punch']","['Psycho Cut', 'Confusion']",100.0,3,3498,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
66,Machop,137,82,172,['Fighting'],Standard,"['Low Sweep', 'Brick Break', 'Cross Chop']","['Rock Smash', 'Karate Chop']",0.0,3,1462,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
67,Machoke,177,125,190,['Fighting'],Standard,"['Submission', 'Brick Break', 'Dynamic Punch']","['Low Kick', 'Karate Chop']",25.0,3,2324,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
68,Machamp,234,159,207,['Fighting'],Standard,"['Heavy Slam', 'Dynamic Punch', 'Close Combat', 'Rock Slide', 'Cross Chop']","['Bullet Punch', 'Counter']",100.0,3,3496,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
69,Bellsprout,139,61,137,"['Grass', 'Poison']",Standard,"['Power Whip', 'Sludge Bomb', 'Wrap']","['Vine Whip', 'Acid']",0.0,3,1182,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
70,Weepinbell,172,92,163,"['Grass', 'Poison']",Standard,"['Power Whip', 'Sludge Bomb', 'Seed Bomb']","['Bullet Seed', 'Acid']",25.0,3,1844,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,False,True
71,Victreebel,207,135,190,"['Grass', 'Poison']",Standard,"['Leaf Blade', 'Sludge Bomb', 'Solar Beam', 'Leaf Tornado', 'Acid Spray']","['Razor Leaf', 'Acid']",100.0,3,2781,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
72,Tentacool,97,149,120,"['Water', 'Poison']",Standard,"['Bubble Beam', 'Water Pulse', 'Wrap']","['Bubble', 'Poison Sting']",0.0,3,1190,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
73,Tentacruel,166,209,190,"['Water', 'Poison']",Standard,"['Hydro Pump', 'Sludge Wave', 'Blizzard', 'Acid Spray', 'Scald']","['Acid', 'Poison Jab']",50.0,3,2771,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
74,Geodude,132,132,120,"['Rock', 'Electric']",Standard,"['Rock Slide', 'Rock Tomb', 'Thunderbolt']","['Rock Throw', 'Volt Switch']",0.0,1,1479,0.2,-1.0,-1.0,0.1,1.6,0.2,False,False,True,True,True,True
75,Graveler,164,164,146,"['Rock', 'Electric']",Standard,"['Thunderbolt', 'Stone Edge', 'Rock Blast']","['Rock Throw', 'Volt Switch']",25.0,1,2171,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
76,Golem,211,198,190,"['Rock', 'Electric']",Standard,"['Stone Edge', 'Rock Blast', 'Wild Charge']","['Rock Throw', 'Volt Switch']",100.0,1,3374,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
77,Ponyta,170,127,137,['Psychic'],Standard,"['Play Rough', 'Psybeam', 'Swift']","['Low Kick', 'Psycho Cut']",0.0,3,1942,0.1,-1.0,-1.0,0.2,1.6,0.2,False,False,True,True,True,True
78,Rapidash,207,162,163,"['Psychic', 'Fairy']",Standard,"['Play Rough', 'Psychic', 'Body Slam', 'Megahorn', 'High Horsepower']","['Low Kick', 'Psycho Cut', 'Fairy Wind']",50.0,3,2815,0.1,-1.0,-1.0,0.2,1.6,0.2,False,True,True,True,True,True
79,Slowpoke,109,98,207,"['Water', 'Psychic']",Standard,"['Water Pulse', 'Psyshock', 'Psychic']","['Water Gun', 'Confusion']",0.0,3,1403,0.05,-1.0,-1.0,0.05,1.6,0.2,False,False,True,True,True,True
80,Slowbro,177,180,216,"['Water', 'Psychic']",Standard,"['Water Pulse', 'Psychic', 'Ice Beam', 'Scald']","['Water Gun', 'Confusion']",50.0,3,2911,0.05,-1.0,-1.0,0.05,1.6,0.2,False,True,True,True,True,True
81,Magnemite,165,121,93,"['Electric', 'Steel']",Standard,"['Discharge', 'Magnet Bomb', 'Thunderbolt']","['Spark', 'Thunder Shock', 'Volt Switch', 'Metal Sound']",0.0,3,1558,0.1,-1.0,-1.0,0.3,1.6,0.2,False,False,True,True,True,True
82,Magneton,223,169,137,"['Electric', 'Steel']",Standard,"['Zap Cannon', 'Magnet Bomb', 'Flash Cannon', 'Discharge']","['Spark', 'Charge Beam', 'Thunder Shock', 'Volt Switch', 'Metal Sound']",25.0,3,2843,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
83,Farfetch’d,174,114,141,['Fighting'],Standard,"['Brick Break', 'Brave Bird', 'Leaf Blade']","['Rock Smash', 'Fury Cutter']",0.0,3,1915,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
84,Doduo,158,83,111,"['Normal', 'Flying']",Standard,"['Drill Peck', 'Aerial Ace', 'Brave Bird']","['Peck', 'Quick Attack']",0.0,3,1373,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
85,Dodrio,218,140,155,"['Normal', 'Flying']",Standard,"['Drill Peck', 'Aerial Ace', 'Brave Bird']","['Feint Attack', 'Steel Wing']",50.0,3,2702,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,False,True
86,Seel,85,121,163,['Water'],Standard,"['Aurora Beam', 'Icy Wind', 'Aqua Tail']","['Ice Shard', 'Lick']",0.0,3,1111,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
87,Dewgong,139,177,207,"['Water', 'Ice']",Standard,"['Aurora Beam', 'Water Pulse', 'Blizzard', 'Drill Run', 'Liquidation']","['Frost Breath', 'Iron Tail']",50.0,3,2271,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
88,Grimer,135,90,190,"['Poison', 'Dark']",Standard,"['Crunch', 'Gunk Shot', 'Sludge Bomb']","['Poison Jab', 'Bite']",0.0,3,1572,0.1,-1.0,-1.0,0.15,1.6,0.2,True,False,True,True,True,True
89,Muk,190,172,233,"['Poison', 'Dark']",Standard,"['Dark Pulse', 'Gunk Shot', 'Sludge Wave', 'Acid Spray']","['Bite', 'Poison Jab', 'Snarl']",50.0,3,3154,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
90,Shellder,116,134,102,['Water'],Standard,"['Bubble Beam', 'Water Pulse', 'Icy Wind', 'Razor Shell']","['Ice Shard', 'Tackle']",0.0,3,1235,0.1,-1.0,-1.0,0.15,1.6,0.2,True,False,True,True,True,True
91,Cloyster,186,256,137,"['Water', 'Ice']",Standard,"['Aurora Beam', 'Hydro Pump', 'Avalanche', 'Icy Wind', 'Liquidation', 'Razor Shell']","['Frost Breath', 'Ice Shard']",50.0,3,2914,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
92,Gastly,186,67,102,"['Ghost', 'Poison']",Standard,"['Night Shade', 'Dark Pulse', 'Sludge Bomb']","['Lick', 'Astonish']",0.0,3,1406,0.1,-1.0,-1.0,0.2,1.6,0.2,False,False,True,True,False,True
93,Haunter,223,107,128,"['Ghost', 'Poison']",Standard,"['Shadow Punch', 'Dark Pulse', 'Sludge Bomb', 'Shadow Ball', 'Ice Punch']","['Shadow Claw', 'Astonish']",25.0,3,2246,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
94,Gengar,261,149,155,"['Ghost', 'Poison']",Standard,"['Shadow Ball', 'Focus Blast', 'Sludge Bomb']","['Sucker Punch', 'Hex', 'Shadow Claw']",100.0,3,3292,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
95,Onix,85,232,111,"['Rock', 'Ground']",Standard,"['Sand Tomb', 'Stone Edge', 'Heavy Slam', 'Breaking Swipe']","['Rock Throw', 'Tackle']",0.0,5,1260,0.1,-1.0,-1.0,0.0,1.6,0.2,False,False,True,True,True,True
96,Drowzee,89,136,155,['Psychic'],Standard,"['Psybeam', 'Psyshock', 'Psychic']","['Pound', 'Confusion']",0.0,3,1190,0.1,-1.0,-1.0,0.15,1.6,0.2,True,False,True,True,True,True
97,Hypno,144,193,198,['Psychic'],Standard,"['Futuresight', 'Psychic', 'Focus Blast', 'Fire Punch', 'Ice Punch', 'Thunder Punch', 'Shadow Ball']","['Zen Headbutt', 'Confusion']",50.0,3,2391,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
98,Krabby,181,124,102,['Water'],Standard,"['Vice Grip', 'Bubble Beam', 'Water Pulse', 'Razor Shell']","['Bubble', 'Mud Shot']",0.0,3,1785,0.2,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,False,True
99,Kingler,240,181,146,['Water'],Standard,"['Vice Grip', 'X Scissor', 'Water Pulse', 'Crabhammer', 'Razor Shell']","['Bubble', 'Metal Claw']",50.0,3,3236,0.2,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
100,Voltorb,109,111,120,"['Electric', 'Grass']",Standard,"['Swift', 'Thunderbolt', 'Energy Ball']","['Charge Beam', 'Tackle']",0.0,3,1155,0.1,-1.0,-1.0,0.2,1.6,0.2,False,False,True,True,True,True
101,Electrode,176,176,155,"['Electric', 'Grass']",Standard,"['Swift', 'Wild Charge', 'Energy Ball']","['Thunder Shock', 'Tackle']",50.0,3,2459,0.1,-1.0,-1.0,0.2,1.6,0.2,False,True,True,True,True,True
102,Exeggcute,107,125,155,"['Grass', 'Psychic']",Standard,"['Seed Bomb', 'Psychic', 'Ancient Power']","['Confusion', 'Bullet Seed']",0.0,3,1344,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
103,Exeggutor,230,153,216,"['Grass', 'Dragon']",Standard,"['Seed Bomb', 'Dragon Pulse', 'Solar Beam']","['Bullet Seed', 'Dragon Tail']",50.0,3,3448,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
104,Cubone,90,144,137,['Ground'],Standard,"['Bone Club', 'Dig', 'Bulldoze']","['Mud Slap', 'Rock Smash']",0.0,3,1166,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
105,Marowak,144,186,155,"['Fire', 'Ghost']",Standard,"['Bone Club', 'Shadow Ball', 'Fire Blast', 'Flame Wheel']","['Hex', 'Rock Smash', 'Fire Spin']",50.0,3,2100,0.1,-1.0,-1.0,0.15,1.6,0.2,False,True,True,True,True,True
106,Hitmonlee,224,181,137,['Fighting'],Standard,"['Close Combat', 'Low Sweep', 'Stone Edge', 'Blaze Kick']","['Low Kick', 'Rock Smash', 'Double Kick']",25.0,5,2947,0.2,-1.0,-1.0,0.1,1.6,0.2,False,True,True,True,True,True
107,Hitmonchan,193,197,137,['Fighting'],Standard,"['Fire Punch', 'Ice Punch', 'Thunder Punch', 'Close Combat', 'Power Up Punch']","['Bullet Punch', 'Counter']",25.0,5,2667,0.2,-1.0,-1.0,0.1,1.6,0.2,False,True,True,True,True,True
108,Lickitung,108,137,207,['Normal'],Standard,"['Hyper Beam', 'Stomp', 'Power Whip']","['Lick', 'Zen Headbutt']",0.0,3,1614,0.1,-1.0,-1.0,0.15,1.6,0.2,False,False,True,True,True,True
